rider_name,rider_url,nationality,rider_number,team_name,team_url
THOMAS Geraint,rider/geraint-thomas,GB,1,Team INEOS (WT),team/team-ineos-2019
BERNAL Egan,rider/egan-bernal,CO,2,Team INEOS (WT),team/team-ineos-2019
CASTROVIEJO Jonathan,rider/jonathan-castroviejo,ES,3,Team INEOS (WT),team/team-ineos-2019
KWIATKOWSKI Michał,rider/michal-kwiatkowski,PL,4,Team INEOS (WT),team/team-ineos-2019
MOSCON Gianni,rider/gianni-moscon,IT,5,Team INEOS (WT),team/team-ineos-2019
POELS Wout,rider/wout-poels,NL,6,Team INEOS (WT),team/team-ineos-2019
ROWE Luke,rider/luke-rowe,GB,7,Team INEOS (WT),team/team-ineos-2019
VAN BAARLE Dylan,rider/dylan-van-baarle,NL,8,Team INEOS (WT),team/team-ineos-2019
SAGAN Peter,rider/peter-sagan,SK,11,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
BUCHMANN Emanuel,rider/emanuel-buchmann,DE,12,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
BURGHARDT Marcus,rider/marcus-burghardt,DE,13,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
KONRAD Patrick,rider/patrick-konrad,AT,14,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
MÜHLBERGER Gregor,rider/gregor-muhlberger,AT,15,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
OSS Daniel,rider/daniel-oss,IT,16,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
PÖSTLBERGER Lukas,rider/lukas-postlberger,AT,17,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
SCHACHMANN Maximilian,rider/maximilian-schachmann,DE,18,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
ALAPHILIPPE Julian,rider/julian-alaphilippe,FR,21,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
ASGREEN Kasper,rider/kasper-asgreen,DK,22,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
DEVENYNS Dries,rider/dries-devenyns,BE,23,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
LAMPAERT Yves,rider/yves-lampaert,BE,24,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
MAS Enric,rider/enric-mas,ES,25,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
MØRKØV Michael,rider/michael-morkov,DK,26,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
RICHEZE Maximiliano,rider/ariel-maximiliano-richeze,AR,27,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
VIVIANI Elia,rider/elia-viviani,IT,28,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
BARDET Romain,rider/romain-bardet,FR,31,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
CHEREL Mikaël,rider/mikael-cherel,FR,32,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
COSNEFROY Benoît,rider/benoit-cosnefroy,FR,33,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
FRANK Mathias,rider/mathias-frank,CH,34,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
GALLOPIN Tony,rider/tony-gallopin,FR,35,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
GOUGEARD Alexis,rider/alexis-gougeard,FR,36,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
NAESEN Oliver,rider/oliver-naesen,BE,37,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
VUILLERMOZ Alexis,rider/alexis-vuillermoz,FR,38,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
NIBALI Vincenzo,rider/vincenzo-nibali,IT,41,Bahrain Merida (WT),team/bahrain-merida-2019
CARUSO Damiano,rider/damiano-caruso,IT,42,Bahrain Merida (WT),team/bahrain-merida-2019
COLBRELLI Sonny,rider/sonny-colbrelli,IT,43,Bahrain Merida (WT),team/bahrain-merida-2019
DENNIS Rohan,rider/rohan-dennis,AU,44,Bahrain Merida (WT),team/bahrain-merida-2019
GARCÍA CORTINA Iván,rider/ivan-garcia-cortina,ES,45,Bahrain Merida (WT),team/bahrain-merida-2019
MOHORIČ Matej,rider/matej-mohoric,SI,46,Bahrain Merida (WT),team/bahrain-merida-2019
TEUNS Dylan,rider/dylan-teuns,BE,47,Bahrain Merida (WT),team/bahrain-merida-2019
TRATNIK Jan,rider/jan-tratnik,SI,48,Bahrain Merida (WT),team/bahrain-merida-2019
PINOT Thibaut,rider/thibaut-pinot,FR,51,Groupama - FDJ (WT),team/groupama-fdj-2019
BONNET William,rider/william-bonnet,FR,52,Groupama - FDJ (WT),team/groupama-fdj-2019
GAUDU David,rider/david-gaudu,FR,53,Groupama - FDJ (WT),team/groupama-fdj-2019
KÜNG Stefan,rider/stefan-kung,CH,54,Groupama - FDJ (WT),team/groupama-fdj-2019
