year,stage_name,stage_url,date,profile_icon
2019,Stage 1 | Brussels - Brussels,race/tour-de-france/2019/stage-1,07-06,p3
2019,Stage 2 (TTT) | Brussels - Brussels,race/tour-de-france/2019/stage-2,07-07,p1
2019,Stage 3 | Binche - Épernay,race/tour-de-france/2019/stage-3,07-08,p3
2019,Stage 4 | Reims - Nancy,race/tour-de-france/2019/stage-4,07-09,p2
2019,Stage 5 | Saint-Dié-des-Vosges - Colmar,race/tour-de-france/2019/stage-5,07-10,p2
2019,Stage 6 | Mulhouse - La Planche des Belles Filles,race/tour-de-france/2019/stage-6,07-11,p5
2019,Stage 7 | Belfort - Chalon-sur-Saône,race/tour-de-france/2019/stage-7,07-12,p2
2019,Stage 8 | Mâcon - Saint-Étienne,race/tour-de-france/2019/stage-8,07-13,p2
2019,Stage 9 | Saint-Étienne - Brioude,race/tour-de-france/2019/stage-9,07-14,p2
2019,Stage 10 | Saint-Flour - Albi,race/tour-de-france/2019/stage-10,07-15,p2
2019,Stage 11 | Albi - Toulouse,race/tour-de-france/2019/stage-11,07-17,p2
2019,Stage 12 | Toulouse - Bagnères-de-Bigorre,race/tour-de-france/2019/stage-12,07-18,p4
2019,Stage 13 (ITT) | Pau - Pau,race/tour-de-france/2019/stage-13,07-19,p1
2019,Stage 14 | Tarbes - Col du Tourmalet,race/tour-de-france/2019/stage-14,07-20,p5
2019,Stage 15 | Limoux - Foix Prat D'Albis,race/tour-de-france/2019/stage-15,07-21,p5
2019,Stage 16 | Nîmes - Nîmes,race/tour-de-france/2019/stage-16,07-23,p2
2019,Stage 17 | Pont du Gard - Gap,race/tour-de-france/2019/stage-17,07-24,p2
2019,Stage 18 | Embrun - Valloire,race/tour-de-france/2019/stage-18,07-25,p4
2019,Stage 19 | Saint-Jean-de-Maurienne - Tignes,race/tour-de-france/2019/stage-19,07-26,p5
2019,Stage 20 | Albertville - Val Thorens,race/tour-de-france/2019/stage-20,07-27,p5
2019,Stage 21 | Rambouillet - Paris,race/tour-de-france/2019/stage-21,07-28,p1
2020,Stage 1 | Nice - Nice,race/tour-de-france/2020/stage-1,08-29,p2
2020,Stage 2 | Nice - Nice,race/tour-de-france/2020/stage-2,08-30,p4
2020,Stage 3 | Nice - Sisteron,race/tour-de-france/2020/stage-3,08-31,p2
2020,Stage 4 | Sisteron - Orcières-Merlette,race/tour-de-france/2020/stage-4,09-01,p5
2020,Stage 5 | Gap - Privas,race/tour-de-france/2020/stage-5,09-02,p1
2020,Stage 6 | Le Teil - Mont Aigoual,race/tour-de-france/2020/stage-6,09-03,p5
2020,Stage 7 | Millau - Lavaur,race/tour-de-france/2020/stage-7,09-04,p2
2020,Stage 8 | Cazères - Loudenvielle,race/tour-de-france/2020/stage-8,09-05,p4
2020,Stage 9 | Pau - Laruns,race/tour-de-france/2020/stage-9,09-06,p4
2020,Stage 10 | île d'Oléron (Le Château-d'Oléron) - Île de Ré (Saint-Martin-de-Ré),race/tour-de-france/2020/stage-10,09-08,p1
2020,Stage 11 | Châtelaillon-Plage - Poitiers,race/tour-de-france/2020/stage-11,09-09,p1
2020,Stage 12 | Chauvigny - Sarran,race/tour-de-france/2020/stage-12,09-10,p3
2020,Stage 13 | Châtel-Guyon - Pas de Peyrol (Le Puy Mary),race/tour-de-france/2020/stage-13,09-11,p5
2020,Stage 14 | Clermont-Ferrand - Lyon,race/tour-de-france/2020/stage-14,09-12,p4
2020,Stage 15 | Lyon - Grand Colombier,race/tour-de-france/2020/stage-15,09-13,p5
2020,Stage 16 | La Tour-du-Pin - Villard-de-Lans,race/tour-de-france/2020/stage-16,09-15,p5
2020,Stage 17 | Grenoble - Méribel - Col de la Loze,race/tour-de-france/2020/stage-17,09-16,p5
2020,Stage 18 | Méribel - La Roche-sur-Foron,race/tour-de-france/2020/stage-18,09-17,p4
2020,Stage 19 | Bourg-en-Bresse - Champagnole,race/tour-de-france/2020/stage-19,09-18,p2
2020,Stage 20 (ITT) | Lure - La Planche des Belles Filles,race/tour-de-france/2020/stage-20,09-19,p5
2020,Stage 21 | Mantes-la-Jolie - Paris,race/tour-de-france/2020/stage-21,09-20,p1
